x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.12,2015-09-12 00:00:00,ON,2015,9,12,12,,10,,14,,70,,70,,0,,0,,,,,,0,,6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.13,2015-09-13 00:00:00,ON,2015,9,13,13,,10.5,,15.5,,9.1,,9.1,,0,,0,,,,,,0,,5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.14,2015-09-14 00:00:00,ON,2015,9,14,17.5,,10.5,,24.5,,0,,0,,0,,0,,,,,,0,,0.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.15,2015-09-15 00:00:00,ON,2015,9,15,18.8,,12.5,,25,,0,,0,,0,,0,,,,,,0.8,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.16,2015-09-16 00:00:00,ON,2015,9,16,19.8,,13.5,,26,,0,,0,,0,,0,,,,,,1.8,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.17,2015-09-17 00:00:00,ON,2015,9,17,19.8,,13,,26.5,,0,,0,,0,,0,,,,,,1.8,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.18,2015-09-18 00:00:00,ON,2015,9,18,20.8,,14.5,,27,,0,,0,,0,,0,,,,,,2.8,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.19,2015-09-19 00:00:00,ON,2015,9,19,20.8,,15,,26.5,,6,,6,,0,,0,,,,,,2.8,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.20,2015-09-20 00:00:00,ON,2015,9,20,14,,7.5,,20.5,,0,,0,,0,,0,,,,,,0,,4,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.2015.9.21,2015-09-21 00:00:00,ON,2015,9,21,13.8,,7.5,,20,,0,,0,,0,,0,,,,,,0,,4.2,,,,,
