x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.1,1866-01-01 00:00:00,ON,1866,1,1,-4.5,,-11.7,,2.8,,0,,0,,0,,,,,,,,0,,22.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.2,1866-01-02 00:00:00,ON,1866,1,2,-3.6,,-6.1,,-1.1,,0,,0,,0,,,,,,,,0,,21.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.3,1866-01-03 00:00:00,ON,1866,1,3,-1.4,,-5.6,,2.8,,0,,0,,0,,,,,,,,0,,19.4,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.4,1866-01-04 00:00:00,ON,1866,1,4,-9.8,,-17.8,,-1.7,,0,,0,,0,,,,,,,,0,,27.8,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.5,1866-01-05 00:00:00,ON,1866,1,5,-20.6,,-25.6,,-15.6,,0,,0,,0,,,,,,,,0,,38.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.6,1866-01-06 00:00:00,ON,1866,1,6,-20.6,,-26.1,,-15,,0,,0,,0,,,,,,,,0,,38.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.7,1866-01-07 00:00:00,ON,1866,1,7,,M,,M,,M,0,,0,,0,,,,,,,,,M,,M,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.8,1866-01-08 00:00:00,ON,1866,1,8,-22.5,,-28.9,,-16.1,,0,,0,,0,,,,,,,,0,,40.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.9,1866-01-09 00:00:00,ON,1866,1,9,-15,,-21.1,,-8.9,,0,,0,,0,,,,,,,,0,,33,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.10,1866-01-10 00:00:00,ON,1866,1,10,-10.6,,-18.3,,-2.8,,0,,0,,0,,,,,,,,0,,28.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.11,1866-01-11 00:00:00,ON,1866,1,11,-2,,-5,,1.1,,0,,0,,0,,,,,,,,0,,20,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.12,1866-01-12 00:00:00,ON,1866,1,12,-3.4,,-6.1,,-0.6,,5.1,,0,,5.1,,,,,,,,0,,21.4,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.13,1866-01-13 00:00:00,ON,1866,1,13,-7.5,,-12.2,,-2.8,,3.8,,0,,3.8,,,,,,,,0,,25.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.14,1866-01-14 00:00:00,ON,1866,1,14,,M,,M,,M,0,,0,,0,,,,,,,,,M,,M,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.15,1866-01-15 00:00:00,ON,1866,1,15,-22.2,,-28.3,,-16.1,,11.7,,0,,11.7,,,,,,,,0,,40.2,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.16,1866-01-16 00:00:00,ON,1866,1,16,-10.9,,-21.1,,-0.6,,0,,0,,0,,,,,,,,0,,28.9,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.17,1866-01-17 00:00:00,ON,1866,1,17,-3.1,,-6.1,,0,,10.7,,0,,10.7,,,,,,,,0,,21.1,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1866.1.18,1866-01-18 00:00:00,ON,1866,1,18,-3.7,,-6.7,,-0.6,,0,,0,,0,,,,,,,,0,,21.7,,,,,
