x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.3,1959-05-03 00:00:00,ON,1959,5,3,12.5,,5.6,,19.4,,0,,0,,0,,,,,,,,0,,5.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.4,1959-05-04 00:00:00,ON,1959,5,4,12.5,,4.4,,20.6,,0,,0,,0,,,,,,,,0,,5.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.5,1959-05-05 00:00:00,ON,1959,5,5,13.4,,5.6,,21.1,,0,,0,,0,,,,,,,,0,,4.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.6,1959-05-06 00:00:00,ON,1959,5,6,16.4,,7.2,,25.6,,0,T,0,T,0,,,,,,,,0,,1.6,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.7,1959-05-07 00:00:00,ON,1959,5,7,17.5,,11.1,,23.9,,0,,0,,0,,,,,,,,0,,0.5,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.8,1959-05-08 00:00:00,ON,1959,5,8,11.1,,6.1,,16.1,,0,,0,,0,,,,,,,,0,,6.9,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.9,1959-05-09 00:00:00,ON,1959,5,9,10,,3.3,,16.7,,0,,0,,0,,,,,,,,0,,8,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.10,1959-05-10 00:00:00,ON,1959,5,10,13.7,,6.7,,20.6,,2,,2,,0,,,,,,,,0,,4.3,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.11,1959-05-11 00:00:00,ON,1959,5,11,19.7,,14.4,,25,,0,T,0,T,0,,,,,,,,1.7,,0,,,,,
-77.394735,44.15057,BELLEVILLE,6150689,6150689.1959.5.12,1959-05-12 00:00:00,ON,1959,5,12,15,,11.1,,18.9,,0,,0,,0,,,,,,,,0,,3,,,,,
