x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.5,1991-09-05 00:00:00,ON,1991,9,5,16,,8.5,,23.4,,0,,0,,0,,0,,0,,0,,0,,2,,46,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.6,1991-09-06 00:00:00,ON,1991,9,6,19.3,,12.6,,26,,0,,0,,0,,0,,0,,0,,1.3,,0,,33,,89,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.7,1991-09-07 00:00:00,ON,1991,9,7,17.4,,9.9,,24.9,,0,,0,,0,,0,,0,,0,,0,,0.6,,47,,96,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.8,1991-09-08 00:00:00,ON,1991,9,8,20.6,,13.1,,28.1,,0,,0,,0,,0,,0,,0,,2.6,,0,,38,,98,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.9,1991-09-09 00:00:00,ON,1991,9,9,20.3,,13.3,,27.2,,0,,0,,0,,0,,0,,0,,2.3,,0,,51,,93,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.10,1991-09-10 00:00:00,ON,1991,9,10,22.6,,17.1,,28.1,,4.4,,4.4,,0,,0,,24,,50,,4.6,,0,,64,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.11,1991-09-11 00:00:00,ON,1991,9,11,14.4,,9.3,,19.4,,0,,0,,0,,0,,0,,0,,0,,3.6,,39,,81,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.12,1991-09-12 00:00:00,ON,1991,9,12,13.6,,5.4,,21.8,,0,,0,,0,,0,,0,,0,,0,,4.4,,29,,94,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.13,1991-09-13 00:00:00,ON,1991,9,13,15.1,,7.7,,22.5,,3,,3,,0,,0,,0,,0,,0,,2.9,,32,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.14,1991-09-14 00:00:00,ON,1991,9,14,17.3,,11.1,,23.4,,0,T,0,T,0,,0,,0,,0,,0,,0.7,,47,,98,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.15,1991-09-15 00:00:00,ON,1991,9,15,22.6,,16.4,,28.7,,19.8,,19.8,,0,,0,,22,,35,,4.6,,0,,67,,100,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.16,1991-09-16 00:00:00,ON,1991,9,16,25.1,,21.4,,28.8,,0.8,,0.8,,0,,0,,23,,57,,7.1,,0,,60,,98,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.17,1991-09-17 00:00:00,ON,1991,9,17,17.1,,10.8,,23.4,,0,,0,,0,,0,,26,,43,,0,,0.9,,49,,89,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.18,1991-09-18 00:00:00,ON,1991,9,18,15.5,,8.1,,22.9,,0,T,0,T,0,,0,,28,,46,,0,,2.5,,56,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.19,1991-09-19 00:00:00,ON,1991,9,19,11.4,,5.5,,17.2,,0.6,,0.6,,0,,0,,30,,46,,0,,6.6,,41,,85,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.20,1991-09-20 00:00:00,ON,1991,9,20,8.6,,3.2,,13.9,,0,,0,,0,,0,,29,,33,,0,,9.4,,44,,92,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.21,1991-09-21 00:00:00,ON,1991,9,21,7.5,,1.4,,13.6,,0,,0,,0,,0,,0,,0,,0,,10.5,,46,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.22,1991-09-22 00:00:00,ON,1991,9,22,9.9,,1.4,,18.3,,0,,0,,0,,0,,18,,33,,0,,8.1,,42,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.23,1991-09-23 00:00:00,ON,1991,9,23,14.2,,9.3,,19,,14,,14,,0,,0,,19,,52,,0,,3.8,,52,,98,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.24,1991-09-24 00:00:00,ON,1991,9,24,10.1,,4.4,,15.7,,9,,9,,0,,0,,0,,0,,0,,7.9,,38,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.25,1991-09-25 00:00:00,ON,1991,9,25,11.3,,8,,14.5,,3.8,,3.8,,0,,0,,0,,0,,0,,6.7,,64,,95,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.26,1991-09-26 00:00:00,ON,1991,9,26,10.5,,5.4,,15.6,,10.8,,10.8,,0,,0,,24,,56,,0,,7.5,,50,,95,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.27,1991-09-27 00:00:00,ON,1991,9,27,7.1,,1.9,,12.3,,0.4,,0.4,,0,,0,,24,,48,,0,,10.9,,58,,93,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.28,1991-09-28 00:00:00,ON,1991,9,28,3.7,,-1.1,,8.5,,1.6,,1.6,,0,T,0,,29,,32,,0,,14.3,,67,,100,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1991.9.29,1991-09-29 00:00:00,ON,1991,9,29,5.4,,-1,,11.7,,0,T,0,T,0,,0,,32,,43,,0,,12.6,,34,,100,
